год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,,,линк,,время,Review,StoryYear,,,,Служебные отметки,LC
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,,,-----,,-----,-----,-----,-----,,,-----,
2021,Подус Игорь,1. Я спас РФ-1,Я спас РФ,"2042 год. Альянс демократических держав вероломно напал на РФ. Точечная ядерная бомбардировка из космоса уничтожила атомную триаду страны. В результате предательства высшего лица государства, Россия не смогла ответить ядерным ударом возмездия. Во время последующей тридцатидневной войны погибли десятки миллионов. Москва подверглась массированной химической атаке. Интервентами взяты под контроль, наиболее значимые части территории и инфраструктура. Трансконтинентальные корпорации прибрали к рукам природные ресурсы. Не заинтересовавшие захватчиков территории разорваны на десятки самопровозглашенных республик и национальных автономий. Это рассказ про потерявших всё людей, пытающихся изменить будущее. Модифицированный спецназовец с учёным теоретиком попадают в 2021 год. Им нужно предотвратить гибель родины и отомстить за смерть близких.",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,добавил книги в цикл Ivlaoox 18.02.23,,,https://author.today/work/127533,,,#Н/Д,,,,,+++++,
2021,Подус Игорь,2. Я спас РФ-2,Я спас РФ,"Борьба за наше будущее продолжается, в новой версии реальности. В книге будет рассказана дальнейшая судьба героев. Кроме этого вы увидите последствия оккупации РФ, со стороны империи восходящего солнца, на дальнем востоке. С первых страниц в игру вступает Альфа, единственный рабочий прототип модифицированного человека, пятого поколения.",***,3,закончено,164,ссылка на обзор,ссылка,,,,,,https://author.today/work/141397,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-164-6133209d4ce7622db01e5773,,,,,+++++,
2021,Подус Игорь,3. Я спас РФ-3,Я спас РФ,"Общие усилия героев сдвинули дату начала оккупации РФ на три года. Однако это привело к началу нового витка противостояния супердержав. В мире начинается глобальная война, способная вызвать реальный Армагеддон.",***,3,закончено,171,ссылка на обзор,ссылка,,,завершено IMRYK 12/02,,,https://author.today/work/148973,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-171-615544186e7ff47adeb51c7a,,,,,+++++,
2021,Подус Игорь,4. Я спас РФ-4,Я спас РФ,"Общие усилия героев сдвинули дату начала оккупации РФ на три года. Однако это привело к началу нового витка противостояния супердержав. В мире начинается глобальная война, способная вызвать реальный Армагеддон.",***,3,закончено,#Н/Д,#Н/Д,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/series/14949,,,,,,,,+++++,
2020,kopo6o4ka,"Злата. Жизнь на ""Отлично!""",Злата,"Эта история о повседневности ""нескромного человека"", который в определенный период своей жизни впал в тяжелейшую апатию, обернувшуюся для него тяжкими болезнями и как следствие - смертью. Однако, вместо вечного покоя и забвения, он, по воле Вселенной, получил возможность прожить жизнь другого человека. И решил сделать это так, чтобы Вселенная потом сказала: ""а ну-ка, повтори!""1. Это ""фантастический реализм"" (как понимаю это я) и ""повседневность"", со всем ""вытекающим"" (для меня, как для автора, написать книгу в стиле ""повседневность"" так, чтобы она была интересна читателю - это вызов, который я принял).2. ""Остросюжетки"" (убийства и то прочее, с чем обычный человек в обычной жизни практически не сталкивается) в этой книге вы не найдете. Зато будут ""скандалы, интриги, расследования"". Все, как мы любим!3. ГГ попал из параллельного нашему мира в параллельный нашему мир. Оба эти мира похожи на наш процентов на 99, но таковым не является. Все совпадения с реальными людьми - случайны!",***,3,закончено,80,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/series/12437,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-80-5f50a60a1a1ddf4776358370,,,,,+++++,
2020,Кузмичев Сергей,Жадность и блуд всё перетрут 1-2,Жадность и Блуд,"Юра Баранов трагически погибает в самом расцвете лет. В своем прошлом, подающий большие надежды спортсмен и харизматичный юноша, волей случая попадает в безвыходную ситуацию, которая приводит к трагическому финалу. В своей предсмертной агонии, он осознает где та самая фатальная ошибка и просит, у косматой с косой, шанс все исправить. Смерть, дает ему еще одну возможность и Юра возвращается в тот самый роковой день где совершил тот неверный выбор. Попаданец выходит на новую линию своей судьбы. А судьба готовит ему новые сюрпризы и провокации.",***,3,закончено,312,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/244038,,,https://dzen.ru/a/ZAmP3ZcDb3YQio90,2020,,,,,
2020,Самет Б. А.,Менталист,,"В сознании Алексея Краснова, просыпается личность из будущего, обладающая способностями управлять разумом, как своим, так и чужими. Считывание эмоций, чтение мыслей, внушение, замена и встраивание воспоминаний, и не только. А уже завтра выходить на службу в качестве молодого опера уголовного розыска.",***,3,закончено,103,ссылка на обзор,ссылка,,,,,,https://author.today/work/100438,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-103-5fc08fe8b1f92632baa1dc26,2020,,,,+++++,
2020,Сысолов Дмитрий,1. Один в поле...,Шиша,"Главный герой попадает в тело 14-летнего подростка в совсем недалёкое прошлое. В 2020 год... Вот только если это и прошлое, то явно не его мира. Ведь в его мире пандемия коронавируса несмотря на сотни тысяч погибших всё таки не оставляла после себя практически полностью вымершие города. В выживших только дети и крайне немногочисленные подростки. Чем старше человек тем меньше шансов выжить. Готов ли главный герой в подобным испытаниям? Как оказалось совершенно не готов. Он не герой-спецназер, не гениальный учёный или инженер. Его знания фрагментарны и обрывочеы как и у большинства из нас. Всё мы мудры пока рядом, в одном движении мышки, целый океан информации в интернете. И что делать когда она недоступна и с тобой лишь маленькая тележка собственных знаний? Но задача ещё сложней чем кажется. Как бы не был невелик его багаж знаний, но у окружающих его детей нет даже этого! И что же делать главному герою в этом случае?",***,3,закончено,347,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/204368,,,https://dzen.ru/a/ZMniow1iBRAp3zSz,2020,,,,,
2020,Сысолов Дмитрий,2. Из двух зол...,Шиша,"Всё дальше вчитываясь в текст -С опаской жду плохой концовки, Ведь не бывает в жизни так, Чтобы везло без остановки.",***,3,закончено,347,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/282863,,,https://dzen.ru/a/ZMniow1iBRAp3zSz,2020,,,,,
2019,Грузинский Алекс,"PRO_футбол. ФК ""Канны"". Команда мечты",,"Мы живем лишь один раз. Так утверждают. Споры по этому поводу не утихают и по сей день. Думаю, это из разряда вечного спора: ""Что появилось раньше - яйцо или курица?"". Верите ли вы в параллельные миры, в параллельные реальности? Да вообще, верите ли вы в мистику? Уверен, у каждого будет свой ответ на этот вопрос. Книга основана на событиях игры ""FOOTBALL MANAGER"". Все совпадения с реальными событиями - случайны.",**,2,пишется,245,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,Добавил статус пишется. Ivlaoox. 09/02/23,,,https://author.today/work/211210,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-245-62f1df94318ff24b886cbfd6?&,2019,,,,+++++,
2016,Москаленко Юрий,1. Нечестный штрафной. книга 1. часть 1.,Спартаковская футболка - или игра в офсайде,"Отстёгнутая чека. Твоё тело на ящике, забитом эфками. Верный АК, отброшенный точным попаданием снайпера... Развалины Пальмиры... Сильная боль в перебитых ногах... и ухмылки бандерлогов в чёрном... бородатые твари что-то там щебечут не по-нашему... Сползающие ухмылочки с лиц ублюдков Игил... Щелчок взрывателя гранаты и последние мысли о любимой... Забытая богиня здоровья и счастья... и это высвобождение энергии на месте храма ей посвящённого... столько крови и душа того, кто столько жертв принес в честь неё, врачевателя, да и просто красивейшей женщины. Дорога Комсомольск - Хабаровск... занос на повороте авто от японского производителя... скорость слегка подкачала, как и лопнувшее колесо... Новая жизнь, и как ей теперь распорядиться на фоне опыта прошлого?",***,3,закончено,69,ссылка на обзор,ссылка,,,,,,https://author.today/work/16207,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-69-5f22a4879669f47c3e4d0e5d,2016,,,,+++++,
2016,Москаленко Юрий,2. Нечестный штрафной. книга 1. часть 2.,Спартаковская футболка - или игра в офсайде,"Отстёгнутая чека. Твоё тело на ящике, забитом эфками. Верный АК, отброшенный точным попаданием снайпера... Развалины Пальмиры... Сильная боль в перебитых ногах... и ухмылки бандерлогов в чёрном... бородатые твари что-то там щебечут не по-нашему... Сползающие ухмылочки с лиц ублюдков Игил... Щелчок взрывателя гранаты и последние мысли о любимой... Забытая богиня здоровья и счастья... и это высвобождение энергии на месте храма ей посвящённого... столько крови и душа того, кто столько жертв принес в честь неё, врачевателя, да и просто красивейшей женщины. Дорога Комсомольск - Хабаровск... занос на повороте авто от японского производителя... скорость слегка подкачала, как и лопнувшее колесо... Новая жизнь, и как ей теперь распорядиться на фоне опыта прошлого?",***,3,закончено,51,ссылка на обзор,ссылка,,,,,,https://author.today/work/29014,,,https://author.today/post/85843,2016,,,,+++++,
