year,year_end,start_date,end_date,short_descr,importance
1904,1905,2/8/1904,7/27/1905,Русско-японская война,10
1911,1912,10/10/1911,2/12/1912,Синьхайская революция,5
1912,1913,,,Балканские Войны,5
1914,1914,6/28/1914,,Убийство Франца Фердинанта,5
1914,1918,8/1/1914,11/11/1918,Первая мировая война,100
1917,1917,3/8/1917,11/7/1917,"Февральская революция, отречение Николая II от престола, создание Временного правительства, Октябрьская революция.",50
1918,1922,5/17/1918,10/25/1922,Гражданская война в России,50
1918,1918,7/17/1918,,расстрел царской семьи,5
1918,1920,1/1/1918,12/31/1920,эпидемия Испанского гриппа,20
1920,1920,1/10/1920,,основание Лиги Наций,20
1920,1929,,,«ревущие двадцатые» в США и Западной Европе после Первой мировой войны,20
1922,1922,12/30/1922,,основание СССР,10
1927,1950,,,Гражданская война в Китае,10
1929,1939,,,Великая депрессия в США,10
1928,1953,,,период Сталинизма в Советском Союзе,10
1933,1933,,,"приход Гитлера и нацистов ко власти, превращение Веймарской республики в Нацистскую Германи",10
1939,1945,9/1/1939,9/2/1945,Вторая мировая война,100
1941,1945,6/22/1941,5/9/1945,Великая Отечественная Война,50
1945,1945,10/24/1945,,основание ООН,20
1946,1946,4/19/1946,,роспуск Лиги Наций,5
1949,1949,4/4/1949,,основание НАТО по инициативе США,20
1949,1949,10/1/1949,,Основание КНР,5
1950,1953,6/25/1950,7/27/1953,Корейская война,10
1955,1955,5/14/1955,,основание Варшавского договора,20
1955,1975,11/1/1955,4/30/1975,Война во Вьетнаме,5
1961,1961,4/12/1961,,полёт в космос советского космонавта Юрия Гагарина,10
1966,1976,,,Культурная революция в Китае,10
1969,1969,7/16/1969,7/24/1969,полёт аппарата «Аполлон-11» на Луну,10
1978,1978,,,политика реформ и открытости в Китае,5
1979,1989,12/24/1979,2/15/1989,Афганская война,10
1981,1981,,,начало эпидемии СПИДа,5
1985,1991,,,Перестройка,10
1986,1986,4/26/1986,,Чернобыльская авария,10
1990,1999,,,«лихие девяностые» в России,20
1990,1991,8/2/1990,2/28/1991,Война в Персидском заливе,10
1990,1990,10/3/1990,,воссоединение Германии,5
1991,1991,7/1/1991,,прекращение действия Варшавского договора,10
1991,1991,12/8/1991,,основание СНГ,10
1991,1991,12/26/1991,,распад СССР,20
1992,1992,2/14/1992,,основание ОДКБ,5
1993,1993,,,распад Чехословакии,5
1994,1996,12/11/1994,8/31/1996,Первая чеченская война в России,10
1995,2001,,,пузырь доткомов,10
1998,1998,,,дефолт в России,5
1999,1999,,,операция НАТО против Югославии,5
1999,2000,8/7/1999,4/20/2000,Вторая чеченская война,10
2001,2001,9/11/2001,,террористический акт в США. Уничтожен Всемирный торговый центр, повреждён Пентагон,10
2001,2001,10/7/2001,,начало войны в Афганистане,10
2002,2002,1/1/2002,,января — введение банкнот и монет евро в Европейском союзе,5
2003,2003,3/20/2003,,начало войны в Ираке,10
2004,2004,11/22/2004,12/8/2004,«Оранжевая революция» на Украине,10
2008,2010,,,Финансово-экономический кризис,20
2008,2008,8/7/2008,8/22/2008,война в Грузии,10
2009,2009,1/3/2009,,"начало цифровых валют, Биткойн",20
2010,2010,12/18/2010,,начало «Арабской весны»,20
2011,2011,3/15/2011,,начало гражданской войны в Сирии,10
2013,2013,11/21/2013,2/27/2014,Евромайдан на Украине,10
2014,2014,2/23/2014,3/26/2014,Аннексия Крыма,10
2018,2018,4/13/2018,5/8/2018,Бархатная революция в Армении,10
2019,2019,12/31/2019,5/5/2023,начало пандемии COVID-19,20
2020,2020,10/5/2020,10/15/2020,революция в Киргизии,5
2021,2021,8/15/2021,вывод войск с территории Афганистана,5
2022,2022,2/24/2022,,начало вторжения России на Украину,20
2022,2022,11/30/2022,,запуск искусственного интеллекта ChatGPT,10
2023,2023,10/7/2023,,вторжение ХАМАС в Израиль,10

